input_shape_1,input_shape_2,input_shape_3,input_shape_4,bfloat8,bfloat16,INPUTBUFFER0,INPUTBUFFER1,kernel_duration
992,736,0,0,1,0,0,1,23383
1216,1856,0,0,0,1,1,0,66219
1216,1856,0,0,0,1,1,0,66249
1216,1856,0,0,0,1,1,0,66263
1216,1856,0,0,0,1,1,0,65993
1216,1856,0,0,0,1,0,1,65814
1216,1856,0,0,0,1,0,1,65710
1216,1856,0,0,0,1,0,1,65680
1216,1856,0,0,0,1,0,1,65782
1216,1856,0,0,1,0,1,0,65347
1216,1856,0,0,1,0,1,0,65471
1216,1856,0,0,1,0,1,0,65256
1216,1856,0,0,1,0,1,0,65215
1216,1856,0,0,1,0,0,1,65351
1216,1856,0,0,1,0,0,1,65191
1216,1856,0,0,1,0,0,1,65073
1216,1856,0,0,1,0,0,1,65065
1888,448,0,0,0,1,1,0,26185
1888,448,0,0,0,1,1,0,26196
1888,448,0,0,0,1,1,0,25748
1888,448,0,0,0,1,1,0,25741
1888,448,0,0,0,1,0,1,25915
1888,448,0,0,0,1,0,1,26112
1888,448,0,0,0,1,0,1,25861
1888,448,0,0,0,1,0,1,25510
1888,448,0,0,1,0,1,0,25598
1888,448,0,0,1,0,1,0,25427
1888,448,0,0,1,0,1,0,25237
1888,448,0,0,1,0,1,0,25275
1888,448,0,0,1,0,0,1,25391
1888,448,0,0,1,0,0,1,25383
1888,448,0,0,1,0,0,1,25137
1888,448,0,0,1,0,0,1,25149
1056,288,0,0,0,1,1,0,11622
1056,288,0,0,0,1,1,0,11479
1056,288,0,0,0,1,1,0,11338
1056,288,0,0,0,1,1,0,11387
1056,288,0,0,0,1,0,1,11108
1056,288,0,0,0,1,0,1,11179
1056,288,0,0,0,1,0,1,10936
1056,288,0,0,0,1,0,1,10987
1056,288,0,0,1,0,1,0,10948
1056,288,0,0,1,0,1,0,10927
1056,288,0,0,1,0,1,0,10776
1056,288,0,0,1,0,1,0,10731
1056,288,0,0,1,0,0,1,10773
1056,288,0,0,1,0,0,1,10723
1056,288,0,0,1,0,0,1,10563
1056,288,0,0,1,0,0,1,10583
608,288,0,0,0,1,1,0,8081
608,288,0,0,0,1,1,0,8357
608,288,0,0,0,1,1,0,7782
608,288,0,0,0,1,1,0,7889
608,288,0,0,0,1,0,1,7940
608,288,0,0,0,1,0,1,7771
608,288,0,0,0,1,0,1,7260
608,288,0,0,0,1,0,1,7233
608,288,0,0,1,0,1,0,7617
608,288,0,0,1,0,1,0,7423
608,288,0,0,1,0,1,0,7246
608,288,0,0,1,0,1,0,7148
608,288,0,0,1,0,0,1,7174
608,288,0,0,1,0,0,1,7186
608,288,0,0,1,0,0,1,6897
608,288,0,0,1,0,0,1,6977
1568,224,0,0,0,1,1,0,13502
1568,224,0,0,0,1,1,0,13634
1568,224,0,0,0,1,1,0,13238
1568,224,0,0,0,1,1,0,13189
1568,224,0,0,0,1,0,1,13076
1568,224,0,0,0,1,0,1,13244
1568,224,0,0,0,1,0,1,12527
1568,224,0,0,0,1,0,1,12580
1568,224,0,0,1,0,1,0,12867
1568,224,0,0,1,0,1,0,13074
1568,224,0,0,1,0,1,0,12545
1568,224,0,0,1,0,1,0,12551
1568,224,0,0,1,0,0,1,12519
1568,224,0,0,1,0,0,1,12631
1568,224,0,0,1,0,0,1,12377
1568,224,0,0,1,0,0,1,12379
1280,1664,0,0,0,1,1,0,63241
1280,1664,0,0,0,1,1,0,63390
1280,1664,0,0,0,1,1,0,62996
1280,1664,0,0,0,1,1,0,63074
1280,1664,0,0,0,1,0,1,63157
1280,1664,0,0,0,1,0,1,63135
1280,1664,0,0,0,1,0,1,63203
1280,1664,0,0,0,1,0,1,63114
1280,1664,0,0,1,0,1,0,61981
1280,1664,0,0,1,0,1,0,61988
1280,1664,0,0,1,0,1,0,61733
1280,1664,0,0,1,0,1,0,61834
1280,1664,0,0,1,0,0,1,61780
1280,1664,0,0,1,0,0,1,61977
1280,1664,0,0,1,0,0,1,61802
1280,1664,0,0,1,0,0,1,61782
544,1888,0,0,0,1,1,0,32983
544,1888,0,0,0,1,1,0,32673
544,1888,0,0,0,1,1,0,32422
544,1888,0,0,0,1,1,0,32401
544,1888,0,0,0,1,0,1,32611
544,1888,0,0,0,1,0,1,32306
544,1888,0,0,0,1,0,1,31485
544,1888,0,0,0,1,0,1,31616
544,1888,0,0,1,0,1,0,31537
544,1888,0,0,1,0,1,0,31601
544,1888,0,0,1,0,1,0,31151
544,1888,0,0,1,0,1,0,31155
544,1888,0,0,1,0,0,1,31073
544,1888,0,0,1,0,0,1,31248
544,1888,0,0,1,0,0,1,30669
544,1888,0,0,1,0,0,1,30810
1120,2016,0,0,0,1,1,0,66134
1120,2016,0,0,0,1,1,0,66074
1120,2016,0,0,0,1,1,0,65970
1120,2016,0,0,0,1,1,0,65881
1120,2016,0,0,0,1,0,1,65793
1120,2016,0,0,0,1,0,1,65801
1120,2016,0,0,0,1,0,1,65555
1120,2016,0,0,0,1,0,1,65545
1120,2016,0,0,1,0,1,0,65333
1120,2016,0,0,1,0,1,0,65389
1120,2016,0,0,1,0,1,0,65225
1120,2016,0,0,1,0,1,0,65216
1120,2016,0,0,1,0,0,1,65170
1120,2016,0,0,1,0,0,1,65160
1120,2016,0,0,1,0,0,1,65032
1120,2016,0,0,1,0,0,1,65042
1472,1664,0,0,0,1,1,0,71899
1472,1664,0,0,0,1,1,0,71886
1472,1664,0,0,0,1,1,0,71396
1472,1664,0,0,0,1,1,0,71492
1472,1664,0,0,0,1,0,1,71520
1472,1664,0,0,0,1,0,1,71398
1472,1664,0,0,0,1,0,1,71354
1472,1664,0,0,0,1,0,1,71129
1472,1664,0,0,1,0,1,0,70947
1472,1664,0,0,1,0,1,0,70978
1472,1664,0,0,1,0,1,0,70694
1472,1664,0,0,1,0,1,0,70688
1472,1664,0,0,1,0,0,1,70883
1472,1664,0,0,1,0,0,1,70754
1472,1664,0,0,1,0,0,1,70531
1472,1664,0,0,1,0,0,1,70513
1248,1856,0,0,0,1,1,0,70498
1248,1856,0,0,0,1,1,0,70267
1248,1856,0,0,0,1,1,0,69342
1248,1856,0,0,0,1,1,0,69474
1248,1856,0,0,0,1,0,1,68861
1248,1856,0,0,0,1,0,1,68700
1248,1856,0,0,0,1,0,1,67461
1248,1856,0,0,0,1,0,1,67473
1248,1856,0,0,1,0,1,0,67950
1248,1856,0,0,1,0,1,0,68152
1248,1856,0,0,1,0,1,0,67765
1248,1856,0,0,1,0,1,0,67628
1248,1856,0,0,1,0,0,1,67334
1248,1856,0,0,1,0,0,1,67490
1248,1856,0,0,1,0,0,1,66931
1248,1856,0,0,1,0,0,1,67044
320,640,0,0,0,1,1,0,9892
320,640,0,0,0,1,1,0,10069
320,640,0,0,0,1,1,0,9954
320,640,0,0,0,1,1,0,9935
320,640,0,0,0,1,0,1,9307
320,640,0,0,0,1,0,1,9448
320,640,0,0,0,1,0,1,9108
320,640,0,0,0,1,0,1,9103
320,640,0,0,1,0,1,0,9329
320,640,0,0,1,0,1,0,9174
320,640,0,0,1,0,1,0,9068
320,640,0,0,1,0,1,0,9169
320,640,0,0,1,0,0,1,8905
320,640,0,0,1,0,0,1,8937
320,640,0,0,1,0,0,1,8835
320,640,0,0,1,0,0,1,8853
224,1504,0,0,0,1,1,0,13276
224,1504,0,0,0,1,1,0,13258
224,1504,0,0,0,1,1,0,12899
224,1504,0,0,0,1,1,0,12946
224,1504,0,0,0,1,0,1,12901
